course,"{'equivalent': 0.6078431372549019, 'mat': 0.054901960784313725, 'graded': 0.054901960784313725, 'includes': 0.027450980392156862, 'sleeping': 0.01568627450980392, 'provides': 0.00784313725490196, 'situates': 0.00784313725490196, 'introduces': 0.00784313725490196, 'focus': 0.00784313725490196, 'emphasizes': 0.00784313725490196, 'seminar': 0.00784313725490196, 'divided': 0.00784313725490196, 'intended': 0.00784313725490196, 'count': 0.00784313725490196, 'extends': 0.00392156862745098, 'concepts': 0.00392156862745098, 'concentrates': 0.00392156862745098, 'law': 0.00392156862745098, 'based': 0.00392156862745098, 'integrates': 0.00392156862745098, 'utilizes': 0.00392156862745098, 'strategy': 0.00392156862745098, 'marketing': 0.00392156862745098, 'uses': 0.00392156862745098, 'mix': 0.00392156862745098, 'teams': 0.00392156862745098, 'focuses': 0.00392156862745098, 'recognizes': 0.00392156862745098, 'hrm': 0.00392156862745098, 'present': 0.00392156862745098, 'auditing': 0.00392156862745098, 'completes': 0.00392156862745098, 'explores': 0.00392156862745098, 'draws': 0.00392156862745098, 'highlight': 0.00392156862745098, 'approaches': 0.00392156862745098, 'prepares': 0.00392156862745098, 'limited': 0.00392156862745098, 'seminars': 0.00392156862745098, 'study': 0.00392156862745098, 'presents': 0.00392156862745098, 'allows': 0.00392156862745098, 'membrane': 0.00392156862745098, 'integrating': 0.00392156862745098, 'reserved': 0.00392156862745098, 'calculus': 0.00392156862745098, 'content': 0.00392156862745098, 'proving': 0.00392156862745098, 'optimization': 0.00392156862745098, 'mathematical': 0.00392156862745098, 'affording': 0.00392156862745098, 'consultation': 0.00392156862745098, 'data': 0.00392156862745098, 'list': 0.00392156862745098, 'project': 0.00392156862745098, 'requirements': 0.00392156862745098, 'may': 0.00392156862745098}"
provides,"{'student': 0.5, 'general': 0.25, 'hands': 0.25}"
student,"{'student': 0.10714285714285714, 'select': 0.10714285714285714, 'basic': 0.07142857142857142, 'learn': 0.07142857142857142, 'receives': 0.07142857142857142, 'determine': 0.07142857142857142, 'staff': 0.07142857142857142, 'appreciation': 0.03571428571428571, 'projects': 0.03571428571428571, 'fundamental': 0.03571428571428571, 'centered': 0.03571428571428571, 'expected': 0.03571428571428571, 'managerial': 0.03571428571428571, 'seminar': 0.03571428571428571, 'undertake': 0.03571428571428571, 'write': 0.03571428571428571, 'presentation': 0.03571428571428571, 'teams': 0.03571428571428571, 'least': 0.03571428571428571}"
basic,"{'concepts': 0.13333333333333333, 'intervention': 0.1, 'knowledge': 0.06666666666666667, 'eeg': 0.06666666666666667, 'problems': 0.06666666666666667, 'elements': 0.03333333333333333, 'functions': 0.03333333333333333, 'neuroanatomy': 0.03333333333333333, 'assumptions': 0.03333333333333333, 'design': 0.03333333333333333, 'derivative': 0.03333333333333333, 'trigonometric': 0.03333333333333333, 'counting': 0.03333333333333333, 'probability': 0.03333333333333333, 'graduate': 0.03333333333333333, 'properties': 0.03333333333333333, 'cryptographical': 0.03333333333333333, 'complexity': 0.03333333333333333, 'infrastructure': 0.03333333333333333, 'principles': 0.03333333333333333, 'statistics': 0.03333333333333333, 'combinatorial': 0.03333333333333333}"
knowledge,"{'necessary': 0.08695652173913043, 'related': 0.08695652173913043, 'acquired': 0.08695652173913043, 'field': 0.08695652173913043, 'management': 0.043478260869565216, 'canadian': 0.043478260869565216, 'healthcare': 0.043478260869565216, 'attained': 0.043478260869565216, 'corporate': 0.043478260869565216, 'pmbok': 0.043478260869565216, 'procedures': 0.043478260869565216, 'analysis': 0.043478260869565216, 'particular': 0.043478260869565216, 'base': 0.043478260869565216, 'discovery': 0.043478260869565216, 'knowledge': 0.043478260869565216, 'representation': 0.043478260869565216, 'interactive': 0.043478260869565216, 'using': 0.043478260869565216}"
necessary,"{'effectively': 0.5, 'intelligence': 0.25, 'address': 0.25}"
effectively,{'manage': 1.0}
manage,"{'organization': 0.6666666666666666, 'processes': 0.3333333333333333}"
organization,"{'student': 0.05405405405405406, 'design': 0.05405405405405406, 'internship': 0.05405405405405406, 'purposes': 0.05405405405405406, 'accounting': 0.02702702702702703, 'business': 0.02702702702702703, 'including': 0.02702702702702703, 'conjunction': 0.02702702702702703, 'provides': 0.02702702702702703, 'major': 0.02702702702702703, 'society': 0.02702702702702703, 'exports': 0.02702702702702703, 'structures': 0.02702702702702703, 'developing': 0.02702702702702703, 'culture': 0.02702702702702703, 'framework': 0.02702702702702703, 'managerial': 0.02702702702702703, 'course': 0.02702702702702703, 'operational': 0.02702702702702703, 'growth': 0.02702702702702703, 'decision': 0.02702702702702703, 'learning': 0.02702702702702703, 'development': 0.02702702702702703, 'understanding': 0.02702702702702703, 'executive': 0.02702702702702703, 'transformation': 0.02702702702702703, 'mammalian': 0.02702702702702703, 'current': 0.02702702702702703, 'psychology': 0.02702702702702703, 'concept': 0.02702702702702703, 'compilers': 0.02702702702702703, 'basic': 0.02702702702702703, 'social': 0.02702702702702703}"
learn,"{'constitutes': 0.2857142857142857, 'distinguish': 0.2857142857142857, 'innovate': 0.14285714285714285, 'connect': 0.14285714285714285, 'use': 0.14285714285714285}"
constitutes,{'managers': 1.0}
managers,"{'role': 0.2, 'must': 0.2, 'course': 0.1, 'face': 0.1, 'policymakers': 0.1, 'need': 0.1, 'shareholders': 0.1, 'marketing': 0.1}"
role,"{'managerial': 0.09090909090909091, 'financial': 0.09090909090909091, 'information': 0.09090909090909091, 'delivery': 0.09090909090909091, 'management': 0.045454545454545456, 'international': 0.045454545454545456, 'precedent': 0.045454545454545456, 'technologies': 0.045454545454545456, 'hr': 0.045454545454545456, 'auditing': 0.045454545454545456, 'accounting': 0.045454545454545456, 'organization': 0.045454545454545456, 'production': 0.045454545454545456, 'norms': 0.045454545454545456, 'community': 0.045454545454545456, 'research': 0.045454545454545456, 'conceptual': 0.045454545454545456, 'xml': 0.045454545454545456}"
managerial,"{'functions': 0.2, 'ethics': 0.2, 'applications': 0.1, 'practice': 0.1, 'planning': 0.1, 'methods': 0.1, 'accounting': 0.1, 'overview': 0.1}"
functions,"{'several': 0.05405405405405406, 'planning': 0.02702702702702703, 'labour': 0.02702702702702703, 'techniques': 0.02702702702702703, 'callosal': 0.02702702702702703, 'introduction': 0.02702702702702703, 'relations': 0.02702702702702703, 'equivalence': 0.02702702702702703, 'rational': 0.02702702702702703, 'central': 0.02702702702702703, 'including': 0.013513513513513514, 'pricing': 0.013513513513513514, 'strengths': 0.013513513513513514, 'sleep': 0.013513513513513514, 'dreams': 0.013513513513513514, 'attitudes': 0.013513513513513514, 'general': 0.013513513513513514, 'current': 0.013513513513513514, 'psychologists': 0.013513513513513514, 'limits': 0.013513513513513514, 'factoring': 0.013513513513513514, 'logarithms': 0.013513513513513514, 'radian': 0.013513513513513514, 'graphs': 0.013513513513513514, 'point': 0.013513513513513514, 'average': 0.013513513513513514, 'using': 0.013513513513513514, 'model': 0.013513513513513514, 'derivatives': 0.013513513513513514, 'finite': 0.013513513513513514, 'via': 0.013513513513513514, 'two': 0.013513513513513514, 'higher': 0.013513513513513514, 'applications': 0.013513513513513514, 'vectors': 0.013513513513513514, 'mhf4u': 0.013513513513513514, 'uniform': 0.013513513513513514, 'principle': 0.013513513513513514, 'convergence': 0.013513513513513514, 'expectation': 0.013513513513513514, 'compactness': 0.013513513513513514, 'modes': 0.013513513513513514, 'integration': 0.013513513513513514, 'countability': 0.013513513513513514, 'distribution': 0.013513513513513514, 'sturm': 0.013513513513513514, 'fourier': 0.013513513513513514, 'variational': 0.013513513513513514, 'advanced': 0.013513513513513514, 'extension': 0.013513513513513514, 'partitions': 0.013513513513513514, 'product': 0.013513513513513514, 'asymptotics': 0.013513513513513514, 'course': 0.013513513513513514, 'lp': 0.013513513513513514, 'extensions': 0.013513513513513514, 'sufficiency': 0.013513513513513514, 'best': 0.013513513513513514, 'recursively': 0.013513513513513514, 'trap': 0.013513513513513514, 'pseudorandom': 0.013513513513513514, 'compilers': 0.013513513513513514}"
planning,"{'control': 0.08888888888888889, 'development': 0.06666666666666667, 'organizing': 0.044444444444444446, 'inventory': 0.044444444444444446, 'introduction': 0.044444444444444446, 'process': 0.044444444444444446, 'transportation': 0.022222222222222223, 'focus': 0.022222222222222223, 'ethical': 0.022222222222222223, 'staffing': 0.022222222222222223, 'implementing': 0.022222222222222223, 'managing': 0.022222222222222223, 'procurement': 0.022222222222222223, 'financial': 0.022222222222222223, 'destaffing': 0.022222222222222223, 'reporting': 0.022222222222222223, 'monitoring': 0.022222222222222223, 'activities': 0.022222222222222223, 'company': 0.022222222222222223, 'integrates': 0.022222222222222223, 'product': 0.022222222222222223, 'job': 0.022222222222222223, 'design': 0.022222222222222223, 'project': 0.022222222222222223, 'realization': 0.022222222222222223, 'erp': 0.022222222222222223, 'promotional': 0.022222222222222223, 'global': 0.022222222222222223, 'execution': 0.022222222222222223, 'r': 0.022222222222222223, 'financials': 0.022222222222222223, 'layout': 0.022222222222222223, 'problem': 0.022222222222222223, 'evaluation': 0.022222222222222223, 'basics': 0.022222222222222223, 'amidst': 0.022222222222222223}"
organizing,"{'leading': 0.6666666666666666, 'planning': 0.3333333333333333}"
leading,"{'controlling': 0.2857142857142857, 'organizational': 0.14285714285714285, 'representative': 0.14285714285714285, 'written': 0.14285714285714285, 'proofs': 0.14285714285714285, 'writing': 0.14285714285714285}"
controlling,"{'communication': 0.5, 'operations': 0.25, 'plan': 0.25}"
communication,"{'assessment': 0.0967741935483871, 'used': 0.06451612903225806, 'systems': 0.06451612903225806, 'social': 0.06451612903225806, 'process': 0.06451612903225806, 'networks': 0.06451612903225806, 'skills': 0.03225806451612903, 'different': 0.03225806451612903, 'presentations': 0.03225806451612903, 'relation': 0.03225806451612903, 'management': 0.03225806451612903, 'theory': 0.03225806451612903, 'class': 0.03225806451612903, 'across': 0.03225806451612903, 'synaptic': 0.03225806451612903, 'database': 0.03225806451612903, 'building': 0.03225806451612903, 'complexity': 0.03225806451612903, 'services': 0.03225806451612903, 'protocol': 0.03225806451612903, 'primitives': 0.03225806451612903, 'resource': 0.03225806451612903, 'protocols': 0.03225806451612903, 'queuing': 0.03225806451612903}"
used,"{'oversee': 0.1, 'social': 0.1, 'individuals': 0.1, 'course': 0.1, 'support': 0.05, 'better': 0.05, 'develop': 0.05, 'cooling': 0.05, 'multivariate': 0.05, 'extensively': 0.05, 'administration': 0.05, 'theoretical': 0.05, 'help': 0.05, 'delineate': 0.05, 'applications': 0.05, 'authentication': 0.05}"
oversee,"{'organizations': 0.5, 'portfolio': 0.5}"
organizations,"{'systems': 0.08823529411764706, 'human': 0.058823529411764705, 'students': 0.058823529411764705, 'work': 0.058823529411764705, 'integration': 0.058823529411764705, 'union': 0.058823529411764705, 'program': 0.058823529411764705, 'individuals': 0.029411764705882353, 'roles': 0.029411764705882353, 'hr': 0.029411764705882353, 'change': 0.029411764705882353, 'wish': 0.029411764705882353, 'leases': 0.029411764705882353, 'web': 0.029411764705882353, 'principles': 0.029411764705882353, 'analysis': 0.029411764705882353, 'models': 0.029411764705882353, 'adopting': 0.029411764705882353, 'topics': 0.029411764705882353, 'structure': 0.029411764705882353, 'goals': 0.029411764705882353, 'environment': 0.029411764705882353, 'consulting': 0.029411764705882353, 'service': 0.029411764705882353, 'written': 0.029411764705882353, 'inter': 0.029411764705882353}"
human,"{'resources': 0.20512820512820512, 'resource': 0.15384615384615385, 'behaviour': 0.15384615384615385, 'rights': 0.07692307692307693, 'sexual': 0.07692307692307693, 'financial': 0.05128205128205128, 'sexuality': 0.05128205128205128, 'species': 0.05128205128205128, 'organizational': 0.02564102564102564, 'development': 0.02564102564102564, 'evolution': 0.02564102564102564, 'neuropsychology': 0.02564102564102564, 'visual': 0.02564102564102564, 'factors': 0.02564102564102564, 'modeling': 0.02564102564102564}"
financial,"{'statements': 0.21875, 'reporting': 0.15625, 'environment': 0.09375, 'statement': 0.09375, 'physical': 0.0625, 'presentations': 0.0625, 'accounting': 0.03125, 'plan': 0.03125, 'firms': 0.03125, 'sector': 0.03125, 'markets': 0.03125, 'investment': 0.03125, 'futures': 0.03125, 'institutions': 0.03125, 'time': 0.03125, 'transactions': 0.03125}"
